subject,influence_rate,int_false_prime,int_true_prime,int_amp_effect,awareness,demand,influence_general,intentionality,politics,self_exclusion_1,self_exclusion_1other,unintentionality,trump_prime,obama_prime,std_amp_effect
4793598,0.013888888888888888,0.25,0.3055555555555556,0.05555555555555558,all,My responses were genuinely based on whether I was influenced or not,a few,a few,somewhat democratic,"Yes, use my data",,a few,0.16666666666666666,0.4722222222222222,0.3055555555555556
14993216,0.2916666666666667,0.5,0.6111111111111112,0.11111111111111116,all,My responses were genuinely based on whether I was influenced or not,about half,a few,somewhat democratic,"Yes, use my data",,less than half,0.5833333333333334,0.6944444444444444,0.11111111111111105
17703893,0.7222222222222222,0.1388888888888889,0.8055555555555556,0.6666666666666667,all,I'm not sure or don't know why I responded the way I did,more than half,about half,very democratic,"No, exclude my data (please specify why):","I guess I'm not 100% sure what you're measuring, but I had a hard time even seeing the Chinese symbol in between the recognizable image and the static. It was hard to judge a character I'd barely even seen, so I'm sure I just voted for cute seals and Obama and against guns and house fires and Trump most of the time.",more than half,0.1111111111111111,0.9166666666666666,0.8055555555555556
23704276,0.2222222222222222,0.4722222222222222,0.8055555555555556,0.33333333333333337,all,My responses were genuinely based on whether I was influenced or not,less than half,none,very democratic,"Yes, use my data",,less than half,0.5,0.75,0.25
24223154,0.1527777777777778,0.7222222222222222,0.8611111111111112,0.13888888888888895,all,My responses were genuinely based on whether I was influenced or not,less than half,a few,very democratic,"Yes, use my data",,a few,0.8333333333333334,0.9722222222222222,0.13888888888888884
35252637,0,0,0,0,all,My responses were genuinely based on whether I was influenced or not,less than half,less than half,very democratic,"Yes, use my data",,less than half,0.16666666666666666,0.16666666666666666,0
36800426,0.2638888888888889,0.6666666666666666,0.6388888888888888,-0.02777777777777779,all,My responses were genuinely based on whether I was influenced or not,less than half,none,very democratic,"Yes, use my data",,less than half,0.5,0.5555555555555556,0.05555555555555558
36971546,0.4305555555555556,0.3888888888888889,0.6944444444444444,0.3055555555555555,all,My responses were genuinely based on whether I was influenced or not,about half,about half,a little democratic,"Yes, use my data",,a few,0.3888888888888889,0.8055555555555556,0.4166666666666667
37441758,0.9583333333333334,0.027777777777777776,0.8333333333333334,0.8055555555555556,all,My responses were genuinely based on whether I was influenced or not,all,most,very democratic,"Yes, use my data",,none,0.027777777777777776,1,0.9722222222222222
45250838,1,0.16666666666666666,0.9722222222222222,0.8055555555555556,less than half,My responses were based on what I thought the researcher wanted me to say,about half,more than half,a little democratic,"Yes, use my data",,more than half,0.08333333333333333,0.8611111111111112,0.7777777777777778
50554708,0.027777777777777776,0.5555555555555556,0.4444444444444444,-0.11111111111111116,all,My responses were genuinely based on whether I was influenced or not,a few,a few,somewhat democratic,"Yes, use my data",,none,0.027777777777777776,1,0.9722222222222222
51723877,0.05555555555555555,0.8888888888888888,0.8888888888888888,0,all,My responses were genuinely based on whether I was influenced or not,a few,none,somewhat democratic,"Yes, use my data",,a few,0.6666666666666666,0.5555555555555556,-0.11111111111111105
59088105,0.027777777777777776,0.2777777777777778,0.3611111111111111,0.08333333333333331,a few,My responses were genuinely based on whether I was influenced or not,a few,none,very democratic,"Yes, use my data",,a few,0.1388888888888889,0.16666666666666666,0.027777777777777762
62576735,0,0.9166666666666666,0.9722222222222222,0.05555555555555558,all,My responses were genuinely based on whether I was influenced or not,none,none,very democratic,"No, exclude my data (please specify why):","The idea of a symbol being more or less visually appealing is nonsensical. They're symbols meant to convey information and not presented calligraphically, or in a way where the artistic rendering matters. I don't find any letters of the English alphabet more or less visually appealling than any other. I rated almost all of the symbols ""pleasant"" because how could they possibly be unpleasant?",a few,0.8611111111111112,1,0.13888888888888884
62735931,0.041666666666666664,0.6111111111111112,0.5833333333333334,-0.02777777777777779,all,My responses were genuinely based on whether I was influenced or not,a few,none,somewhat democratic,"Yes, use my data",,less than half,0.6111111111111112,0.5277777777777778,-0.08333333333333337
72372970,0.2361111111111111,0.25,0.5555555555555556,0.3055555555555556,all,My responses were genuinely based on whether I was influenced or not,about half,none,very democratic,"Yes, use my data",,about half,0.05555555555555555,1,0.9444444444444444
73899742,1,0.1111111111111111,0.5,0.3888888888888889,all,My responses were genuinely based on whether I was influenced or not,about half,more than half,very democratic,"Yes, use my data",,most,0.027777777777777776,0.9166666666666666,0.8888888888888888
73938476,0.7916666666666666,0.4166666666666667,0.5555555555555556,0.1388888888888889,all,My responses were genuinely based on whether I was influenced or not,most,about half,somewhat democratic,"No, exclude my data (please specify why):",I think I was too influenced by the pictures rather than the symbols,more than half,0.2777777777777778,0.3055555555555556,0.02777777777777779
77268698,0.1111111111111111,0.4722222222222222,0.4722222222222222,0,all,My responses were genuinely based on whether I was influenced or not,less than half,a few,a little democratic,"Yes, use my data",,a few,0.5277777777777778,0.4444444444444444,-0.08333333333333337
84443238,0.06944444444444445,0.4444444444444444,0.6666666666666666,0.2222222222222222,less than half,My responses were genuinely based on whether I was influenced or not,less than half,a few,very democratic,"Yes, use my data",,a few,0.5,0.5277777777777778,0.02777777777777779
85446237,0.2361111111111111,0.1388888888888889,0.7222222222222222,0.5833333333333333,none,My responses were genuinely based on whether I was influenced or not,most,less than half,very democratic,"Yes, use my data",,most,NA,NA,NA
98170356,0,0.3888888888888889,0.19444444444444445,-0.19444444444444445,none,My responses were genuinely based on whether I was influenced or not,none,none,very democratic,"Yes, use my data",,none,0.4444444444444444,0.5277777777777778,0.08333333333333337
99792694,0.2638888888888889,0.6388888888888888,0.6666666666666666,0.02777777777777779,all,I'm not sure or don't know why I responded the way I did,about half,none,very democratic,"No, exclude my data (please specify why):","I have no idea if what I was doing was right. Pleasant vs. unpleasantness seemed pretty arbitrary, and all of the symbols look at least somewhat pleasant to me, and although I did not do any of the tasks with any set intention (/I tried to cooperate), my answers seemed almost arbitrary.",about half,0.3888888888888889,0.7777777777777778,0.3888888888888889
110689726,0.5833333333333334,0.3611111111111111,0.8055555555555556,0.4444444444444445,all,My responses were genuinely based on whether I was influenced or not,more than half,a few,a little democratic,"Yes, use my data",,about half,0.6666666666666666,0.6111111111111112,-0.05555555555555547
128222221,0.4166666666666667,0,0.8055555555555556,0.8055555555555556,all,My responses were genuinely based on whether I was influenced or not,more than half,more than half,somewhat democratic,"Yes, use my data",,less than half,0,0.9166666666666666,0.9166666666666666
138814248,0,0.8055555555555556,0.8888888888888888,0.08333333333333326,all,My responses were genuinely based on whether I was influenced or not,none,none,very democratic,"Yes, use my data",,none,0.75,0.7777777777777778,0.02777777777777779
138894434,0.3611111111111111,0.4444444444444444,0.6944444444444444,0.25,all,My responses were genuinely based on whether I was influenced or not,less than half,a few,very democratic,"Yes, use my data",,about half,0.5,0.5,0
143278609,0.8888888888888888,0.05555555555555555,0.8611111111111112,0.8055555555555556,all,My responses were genuinely based on whether I was influenced or not,most,most,very democratic,"Yes, use my data",,most,0,0.9722222222222222,0.9722222222222222
150651228,0,0.5277777777777778,0.5277777777777778,0,all,My responses were genuinely based on whether I was influenced or not,a few,none,a little democratic,"Yes, use my data",,a few,0.5277777777777778,0.5555555555555556,0.02777777777777779
164171230,0.18055555555555555,0.5833333333333334,0.75,0.16666666666666663,all,My responses were genuinely based on whether I was influenced or not,less than half,none,a little democratic,"Yes, use my data",,less than half,0.25,0.6944444444444444,0.4444444444444444
166921097,0.041666666666666664,0.2777777777777778,0.3333333333333333,0.055555555555555525,all,My responses were genuinely based on whether I was influenced or not,a few,none,very democratic,"Yes, use my data",,a few,0,0,0
171062326,0.041666666666666664,0.25,0.75,0.5,about half,My responses were genuinely based on whether I was influenced or not,most,more than half,somewhat democratic,"Yes, use my data",,less than half,0.6388888888888888,0.6666666666666666,0.02777777777777779
194566192,0.375,0.4722222222222222,0.5555555555555556,0.08333333333333337,all,My responses were genuinely based on whether I was influenced or not,about half,less than half,somewhat democratic,"Yes, use my data",,less than half,0.6388888888888888,0.5277777777777778,-0.11111111111111105
198000605,0,0.5833333333333334,0.5277777777777778,-0.05555555555555558,all,My responses were genuinely based on whether I was influenced or not,none,none,somewhat democratic,"Yes, use my data",,none,0.6111111111111112,0.6666666666666666,0.05555555555555547
198956190,0.5,0.3888888888888889,0.7222222222222222,0.3333333333333333,all,My responses were genuinely based on whether I was influenced or not,more than half,none,very democratic,"No, exclude my data (please specify why):","I'm not sure the test was working as intended. The pictures flashed very quickly and then disappeared, and this was unexpected to me. The fastness of it made me think the test was broken, so I felt hurried and unsure if I was doing it properly. If this fast presentation was actually intentional, then I do think you can fairly use my data. ",about half,0.5833333333333334,0.5555555555555556,-0.02777777777777779
199138224,0.027777777777777776,0.4722222222222222,0.5555555555555556,0.08333333333333337,all,My responses were genuinely based on whether I was influenced or not,a few,a few,somewhat democratic,"Yes, use my data",,a few,0.4722222222222222,0.5277777777777778,0.05555555555555558
204470556,0.9861111111111112,0.6388888888888888,0.7222222222222222,0.08333333333333337,all,My responses were based on what I thought the researcher wanted me to say,more than half,all,somewhat democratic,"Yes, use my data",,all,0.75,0.75,0
204572509,0,0.6388888888888888,0.6388888888888888,0,all,My responses were genuinely based on whether I was influenced or not,none,none,a little democratic,"Yes, use my data",,none,0.4722222222222222,0.6666666666666666,0.19444444444444442
207177671,0.7777777777777778,0.25,0.4166666666666667,0.16666666666666669,all,My responses were genuinely based on whether I was influenced or not,more than half,none,very democratic,"Yes, use my data",,about half,0.19444444444444445,0.6944444444444444,0.5
209267071,0.06944444444444445,0.4166666666666667,0.3611111111111111,-0.05555555555555558,all,My responses were genuinely based on whether I was influenced or not,a few,none,very democratic,"Yes, use my data",,a few,0.5833333333333334,0.5,-0.08333333333333337
210361004,0,0.4722222222222222,0.5277777777777778,0.05555555555555558,all,My responses were genuinely based on whether I was influenced or not,none,none,very democratic,"Yes, use my data",,none,0.5555555555555556,0.6111111111111112,0.05555555555555558
213834946,0.1111111111111111,0.16666666666666666,0.3055555555555556,0.13888888888888892,all,My responses were genuinely based on whether I was influenced or not,less than half,none,very democratic,"Yes, use my data",,a few,0.3611111111111111,0.25,-0.1111111111111111
218358035,0.3888888888888889,0.2222222222222222,0.6944444444444444,0.4722222222222222,all,My responses were genuinely based on whether I was influenced or not,most,none,somewhat democratic,"Yes, use my data",,about half,0.4722222222222222,0.5277777777777778,0.05555555555555558
229993324,0.9722222222222222,0.2777777777777778,0.9166666666666666,0.6388888888888888,all,My responses were genuinely based on whether I was influenced or not,all,none,very democratic,"Yes, use my data",,all,0.4444444444444444,0.6944444444444444,0.25
250482743,0.5833333333333334,0.2222222222222222,0.8055555555555556,0.5833333333333334,all,My responses were genuinely based on whether I was influenced or not,more than half,less than half,somewhat democratic,"Yes, use my data",,about half,0.19444444444444445,0.9722222222222222,0.7777777777777778
257035865,0.5972222222222222,1,0.16666666666666666,-0.8333333333333334,all,My responses were genuinely based on whether I was influenced or not,about half,about half,somewhat democratic,"Yes, use my data",,a few,1,0.027777777777777776,-0.9722222222222222
265910492,0.06944444444444445,0.5555555555555556,0.5555555555555556,0,all,My responses were genuinely based on whether I was influenced or not,less than half,a few,very democratic,"Yes, use my data",,about half,0.4722222222222222,0.5833333333333334,0.11111111111111116
267237454,0.4305555555555556,0.5277777777777778,0.8055555555555556,0.2777777777777778,all,My responses were genuinely based on whether I was influenced or not,more than half,about half,somewhat democratic,"Yes, use my data",,about half,0.05555555555555555,0.9722222222222222,0.9166666666666666
268653392,0.9027777777777778,0.6111111111111112,0.8333333333333334,0.2222222222222222,about half,My responses were genuinely based on whether I was influenced or not,more than half,about half,very democratic,"Yes, use my data",,about half,0.75,0.8055555555555556,0.05555555555555558
272453798,0.125,0.5,0.5555555555555556,0.05555555555555558,all,My responses were genuinely based on whether I was influenced or not,less than half,a few,very democratic,"Yes, use my data",,a few,0.3611111111111111,0.3888888888888889,0.02777777777777779
272741273,0.7083333333333334,0.6111111111111112,0.6944444444444444,0.08333333333333326,all,My responses were genuinely based on whether I was influenced or not,most,most,very democratic,"Yes, use my data",,all,0,0.8888888888888888,0.8888888888888888
273965715,1,0.08333333333333333,1,0.9166666666666666,all,My responses were genuinely based on whether I was influenced or not,all,more than half,somewhat democratic,"Yes, use my data",,most,0.027777777777777776,0.9722222222222222,0.9444444444444444
293682837,0.06944444444444445,0.8888888888888888,1,0.11111111111111116,all,My responses were genuinely based on whether I was influenced or not,a few,a few,a little democratic,"Yes, use my data",,a few,0.8055555555555556,0.8888888888888888,0.08333333333333326
304405156,0.8194444444444444,0.3333333333333333,0.7777777777777778,0.4444444444444445,most,My responses were genuinely based on whether I was influenced or not,more than half,none,very democratic,"Yes, use my data",,more than half,0.3055555555555556,0.9722222222222222,0.6666666666666666
317346405,0,0.75,0.5277777777777778,-0.2222222222222222,all,My responses were genuinely based on whether I was influenced or not,a few,none,very democratic,"Yes, use my data",,less than half,0.4722222222222222,0.5555555555555556,0.08333333333333337
318839397,0.8055555555555556,0.1111111111111111,0.8055555555555556,0.6944444444444444,most,My responses were genuinely based on whether I was influenced or not,most,most,very democratic,"Yes, use my data",,most,0,1,1
331134774,0.027777777777777776,0.4166666666666667,0.5555555555555556,0.1388888888888889,all,My responses were genuinely based on whether I was influenced or not,a few,none,very democratic,"Yes, use my data",,a few,0.3888888888888889,0.5833333333333334,0.19444444444444448
343702216,0.4861111111111111,0.1388888888888889,0.75,0.6111111111111112,all,My responses were genuinely based on whether I was influenced or not,most,a few,very democratic,"Yes, use my data",,most,0.3888888888888889,0.6388888888888888,0.24999999999999994
346753407,0.3333333333333333,0.4166666666666667,0.75,0.3333333333333333,all,My responses were genuinely based on whether I was influenced or not,less than half,none,very democratic,"Yes, use my data",,about half,0.3055555555555556,0.8055555555555556,0.5
347524095,0.2916666666666667,0.4444444444444444,0.75,0.3055555555555556,all,My responses were genuinely based on whether I was influenced or not,less than half,none,somewhat democratic,"Yes, use my data",,a few,0.2222222222222222,0.5555555555555556,0.33333333333333337
352648471,0.1111111111111111,0.3055555555555556,0.4166666666666667,0.1111111111111111,all,My responses were genuinely based on whether I was influenced or not,a few,none,very democratic,"Yes, use my data",,a few,0.3055555555555556,0.3611111111111111,0.055555555555555525
354555257,0.05555555555555555,0.8055555555555556,0.8333333333333334,0.02777777777777779,all,My responses were genuinely based on whether I was influenced or not,a few,a few,very democratic,"Yes, use my data",,a few,0.5277777777777778,0.6944444444444444,0.16666666666666663
357697364,0.375,0.6944444444444444,0.6111111111111112,-0.08333333333333326,all,My responses were genuinely based on whether I was influenced or not,about half,a few,a little democratic,"Yes, use my data",,less than half,0,0.9722222222222222,0.9722222222222222
358155700,1,0,0.8055555555555556,0.8055555555555556,most,My responses were genuinely based on whether I was influenced or not,most,most,a little democratic,"Yes, use my data",,a few,0,0.9722222222222222,0.9722222222222222
359728694,0.041666666666666664,0.3055555555555556,0.16666666666666666,-0.13888888888888892,all,My responses were genuinely based on whether I was influenced or not,a few,a few,very democratic,"Yes, use my data",,a few,0.19444444444444445,0.3611111111111111,0.16666666666666666
360411069,1,0.08333333333333333,0.8888888888888888,0.8055555555555555,all,My responses were genuinely based on whether I was influenced or not,all,more than half,somewhat democratic,"Yes, use my data",,all,0.027777777777777776,0.9722222222222222,0.9444444444444444
370955787,0.3611111111111111,0.1111111111111111,0.8611111111111112,0.75,all,My responses were genuinely based on whether I was influenced or not,less than half,all,somewhat democratic,"Yes, use my data",,most,0.08333333333333333,0.9166666666666666,0.8333333333333333
371116988,0.06944444444444445,0.5833333333333334,0.8611111111111112,0.2777777777777778,all,My responses were genuinely based on whether I was influenced or not,a few,none,a little democratic,"Yes, use my data",,a few,0.6944444444444444,0.6388888888888888,-0.05555555555555558
376635527,0,0.5833333333333334,0.4166666666666667,-0.16666666666666669,all,My responses were genuinely based on whether I was influenced or not,none,none,a little democratic,"Yes, use my data",,none,0.5,0.3888888888888889,-0.1111111111111111
384312783,0,0.6111111111111112,0.5833333333333334,-0.02777777777777779,most,My responses were genuinely based on whether I was influenced or not,none,none,very democratic,"Yes, use my data",,a few,0.6388888888888888,0.75,0.11111111111111116
388821475,0.4305555555555556,0.25,0.7222222222222222,0.4722222222222222,all,My responses were genuinely based on whether I was influenced or not,more than half,a few,somewhat democratic,"Yes, use my data",,about half,0.5555555555555556,0.6944444444444444,0.13888888888888884
398176801,0.1388888888888889,0.4166666666666667,0.6111111111111112,0.19444444444444448,all,My responses were genuinely based on whether I was influenced or not,less than half,none,somewhat democratic,"Yes, use my data",,less than half,0.5833333333333334,0.5833333333333334,0
404330801,1,0.1111111111111111,0.8888888888888888,0.7777777777777777,all,My responses were genuinely based on whether I was influenced or not,all,all,very democratic,"Yes, use my data",,all,0.3888888888888889,0.7222222222222222,0.3333333333333333
408892577,0.05555555555555555,0.5833333333333334,0.5555555555555556,-0.02777777777777779,all,I'm not sure or don't know why I responded the way I did,a few,a few,very democratic,"Yes, use my data",,a few,0.4722222222222222,0.5555555555555556,0.08333333333333337
414118202,0.2777777777777778,0.4722222222222222,0.6666666666666666,0.19444444444444442,all,My responses were genuinely based on whether I was influenced or not,about half,a few,very democratic,"Yes, use my data",,less than half,0.5833333333333334,0.5,-0.08333333333333337
