subject,prime_type,rating,influenced,self_exclusion_1,complete_data
886642803,prime_type_B,1,0,"Yes, use my data",TRUE
886642803,prime_type_B,0,1,"Yes, use my data",TRUE
886642803,prime_type_B,0,1,"Yes, use my data",TRUE
886642803,prime_type_B,1,0,"Yes, use my data",TRUE
886642803,prime_type_A,0,0,"Yes, use my data",TRUE
886642803,prime_type_A,1,1,"Yes, use my data",TRUE
886642803,prime_type_B,0,0,"Yes, use my data",TRUE
886642803,prime_type_B,1,0,"Yes, use my data",TRUE
886642803,prime_type_A,1,0,"Yes, use my data",TRUE
886642803,prime_type_B,0,1,"Yes, use my data",TRUE
886642803,prime_type_B,1,0,"Yes, use my data",TRUE
886642803,prime_type_A,1,1,"Yes, use my data",TRUE
886642803,prime_type_A,0,0,"Yes, use my data",TRUE
886642803,prime_type_B,1,0,"Yes, use my data",TRUE
886642803,prime_type_A,1,1,"Yes, use my data",TRUE
886642803,prime_type_A,1,0,"Yes, use my data",TRUE
886642803,prime_type_B,0,0,"Yes, use my data",TRUE
886642803,prime_type_B,0,1,"Yes, use my data",TRUE
886642803,prime_type_B,0,1,"Yes, use my data",TRUE
886642803,prime_type_A,0,0,"Yes, use my data",TRUE
886642803,prime_type_A,1,0,"Yes, use my data",TRUE
886642803,prime_type_B,0,0,"Yes, use my data",TRUE
886642803,prime_type_B,1,0,"Yes, use my data",TRUE
886642803,prime_type_B,1,0,"Yes, use my data",TRUE
886642803,prime_type_B,0,0,"Yes, use my data",TRUE
886642803,prime_type_A,1,0,"Yes, use my data",TRUE
886642803,prime_type_B,0,0,"Yes, use my data",TRUE
886642803,prime_type_A,1,0,"Yes, use my data",TRUE
886642803,prime_type_A,0,0,"Yes, use my data",TRUE
886642803,prime_type_A,1,0,"Yes, use my data",TRUE
886642803,prime_type_A,0,0,"Yes, use my data",TRUE
886642803,prime_type_A,0,0,"Yes, use my data",TRUE
886642803,prime_type_A,1,0,"Yes, use my data",TRUE
886642803,prime_type_A,1,0,"Yes, use my data",TRUE
886642803,prime_type_B,0,0,"Yes, use my data",TRUE
886642803,prime_type_A,0,0,"Yes, use my data",TRUE
886642803,prime_type_A,0,0,"Yes, use my data",TRUE
886642803,prime_type_A,1,0,"Yes, use my data",TRUE
886642803,prime_type_B,0,0,"Yes, use my data",TRUE
886642803,prime_type_B,1,0,"Yes, use my data",TRUE
886642803,prime_type_B,0,0,"Yes, use my data",TRUE
886642803,prime_type_B,0,0,"Yes, use my data",TRUE
886642803,prime_type_A,0,0,"Yes, use my data",TRUE
886642803,prime_type_B,0,0,"Yes, use my data",TRUE
886642803,prime_type_A,0,0,"Yes, use my data",TRUE
886642803,prime_type_B,1,1,"Yes, use my data",TRUE
886642803,prime_type_A,0,0,"Yes, use my data",TRUE
886642803,prime_type_A,1,1,"Yes, use my data",TRUE
886642803,prime_type_A,1,1,"Yes, use my data",TRUE
886642803,prime_type_A,1,0,"Yes, use my data",TRUE
886642803,prime_type_A,0,0,"Yes, use my data",TRUE
886642803,prime_type_B,1,0,"Yes, use my data",TRUE
886642803,prime_type_B,1,0,"Yes, use my data",TRUE
886642803,prime_type_A,1,0,"Yes, use my data",TRUE
886642803,prime_type_B,1,0,"Yes, use my data",TRUE
886642803,prime_type_B,1,0,"Yes, use my data",TRUE
886642803,prime_type_A,1,0,"Yes, use my data",TRUE
886642803,prime_type_A,1,0,"Yes, use my data",TRUE
886642803,prime_type_B,0,0,"Yes, use my data",TRUE
886642803,prime_type_B,1,0,"Yes, use my data",TRUE
766228610,prime_type_B,1,0,"Yes, use my data",TRUE
766228610,prime_type_B,1,0,"Yes, use my data",TRUE
766228610,prime_type_B,0,0,"Yes, use my data",TRUE
766228610,prime_type_A,0,0,"Yes, use my data",TRUE
766228610,prime_type_A,0,0,"Yes, use my data",TRUE
766228610,prime_type_B,1,0,"Yes, use my data",TRUE
766228610,prime_type_B,0,1,"Yes, use my data",TRUE
766228610,prime_type_A,1,1,"Yes, use my data",TRUE
766228610,prime_type_A,0,0,"Yes, use my data",TRUE
766228610,prime_type_B,0,0,"Yes, use my data",TRUE
766228610,prime_type_B,1,0,"Yes, use my data",TRUE
766228610,prime_type_B,0,0,"Yes, use my data",TRUE
766228610,prime_type_B,0,0,"Yes, use my data",TRUE
766228610,prime_type_B,1,0,"Yes, use my data",TRUE
766228610,prime_type_A,0,0,"Yes, use my data",TRUE
766228610,prime_type_B,1,0,"Yes, use my data",TRUE
766228610,prime_type_A,1,0,"Yes, use my data",TRUE
766228610,prime_type_A,1,0,"Yes, use my data",TRUE
766228610,prime_type_A,0,0,"Yes, use my data",TRUE
766228610,prime_type_B,0,0,"Yes, use my data",TRUE
766228610,prime_type_B,0,0,"Yes, use my data",TRUE
766228610,prime_type_A,0,0,"Yes, use my data",TRUE
766228610,prime_type_A,1,0,"Yes, use my data",TRUE
766228610,prime_type_A,1,0,"Yes, use my data",TRUE
766228610,prime_type_A,0,0,"Yes, use my data",TRUE
766228610,prime_type_A,1,0,"Yes, use my data",TRUE
766228610,prime_type_A,0,0,"Yes, use my data",TRUE
766228610,prime_type_A,1,1,"Yes, use my data",TRUE
766228610,prime_type_B,0,0,"Yes, use my data",TRUE
766228610,prime_type_B,0,0,"Yes, use my data",TRUE
766228610,prime_type_A,1,1,"Yes, use my data",TRUE
766228610,prime_type_A,0,0,"Yes, use my data",TRUE
766228610,prime_type_B,0,0,"Yes, use my data",TRUE
766228610,prime_type_A,1,0,"Yes, use my data",TRUE
766228610,prime_type_B,1,0,"Yes, use my data",TRUE
766228610,prime_type_B,1,0,"Yes, use my data",TRUE
766228610,prime_type_B,1,0,"Yes, use my data",TRUE
766228610,prime_type_A,0,0,"Yes, use my data",TRUE
766228610,prime_type_B,0,0,"Yes, use my data",TRUE
766228610,prime_type_A,0,0,"Yes, use my data",TRUE
766228610,prime_type_A,1,0,"Yes, use my data",TRUE
766228610,prime_type_A,0,0,"Yes, use my data",TRUE
766228610,prime_type_B,0,0,"Yes, use my data",TRUE
766228610,prime_type_B,0,0,"Yes, use my data",TRUE
766228610,prime_type_A,0,0,"Yes, use my data",TRUE
766228610,prime_type_A,1,0,"Yes, use my data",TRUE
766228610,prime_type_B,0,0,"Yes, use my data",TRUE
766228610,prime_type_B,0,0,"Yes, use my data",TRUE
766228610,prime_type_A,1,0,"Yes, use my data",TRUE
766228610,prime_type_B,0,0,"Yes, use my data",TRUE
766228610,prime_type_B,1,0,"Yes, use my data",TRUE
766228610,prime_type_B,0,1,"Yes, use my data",TRUE
766228610,prime_type_A,0,0,"Yes, use my data",TRUE
766228610,prime_type_A,0,0,"Yes, use my data",TRUE
766228610,prime_type_B,1,0,"Yes, use my data",TRUE
766228610,prime_type_A,1,0,"Yes, use my data",TRUE
766228610,prime_type_B,1,0,"Yes, use my data",TRUE
766228610,prime_type_A,0,0,"Yes, use my data",TRUE
766228610,prime_type_A,1,1,"Yes, use my data",TRUE
766228610,prime_type_B,0,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,0,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,1,"Yes, use my data",TRUE
113460491,prime_type_B,0,1,"Yes, use my data",TRUE
113460491,prime_type_A,0,0,"Yes, use my data",TRUE
113460491,prime_type_B,0,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_B,0,0,"Yes, use my data",TRUE
113460491,prime_type_B,1,0,"Yes, use my data",TRUE
113460491,prime_type_B,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_B,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_B,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_B,1,0,"Yes, use my data",TRUE
113460491,prime_type_B,1,0,"Yes, use my data",TRUE
113460491,prime_type_B,0,0,"Yes, use my data",TRUE
113460491,prime_type_B,0,0,"Yes, use my data",TRUE
113460491,prime_type_A,0,0,"Yes, use my data",TRUE
113460491,prime_type_B,0,0,"Yes, use my data",TRUE
113460491,prime_type_B,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_B,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_B,0,0,"Yes, use my data",TRUE
113460491,prime_type_B,0,0,"Yes, use my data",TRUE
113460491,prime_type_B,0,0,"Yes, use my data",TRUE
113460491,prime_type_B,1,0,"Yes, use my data",TRUE
113460491,prime_type_B,0,0,"Yes, use my data",TRUE
113460491,prime_type_A,0,0,"Yes, use my data",TRUE
113460491,prime_type_B,0,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,0,0,"Yes, use my data",TRUE
113460491,prime_type_B,0,0,"Yes, use my data",TRUE
113460491,prime_type_B,0,0,"Yes, use my data",TRUE
113460491,prime_type_B,0,0,"Yes, use my data",TRUE
113460491,prime_type_B,1,0,"Yes, use my data",TRUE
113460491,prime_type_B,1,0,"Yes, use my data",TRUE
113460491,prime_type_B,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,0,0,"Yes, use my data",TRUE
113460491,prime_type_B,1,0,"Yes, use my data",TRUE
113460491,prime_type_B,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_B,1,0,"Yes, use my data",TRUE
113460491,prime_type_B,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
113460491,prime_type_A,1,0,"Yes, use my data",TRUE
272486146,prime_type_A,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,0,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,0,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,0,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,0,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,0,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,0,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,0,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,0,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,0,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,0,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,0,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,0,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,0,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,0,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,0,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,0,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_B,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,0,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,0,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,1,0,"No, exclude my data (please specify why):",TRUE
272486146,prime_type_A,0,0,"No, exclude my data (please specify why):",TRUE
275523320,prime_type_A,1,1,"Yes, use my data",TRUE
275523320,prime_type_A,0,0,"Yes, use my data",TRUE
275523320,prime_type_A,1,1,"Yes, use my data",TRUE
275523320,prime_type_B,0,0,"Yes, use my data",TRUE
275523320,prime_type_A,0,0,"Yes, use my data",TRUE
275523320,prime_type_A,0,0,"Yes, use my data",TRUE
275523320,prime_type_A,0,1,"Yes, use my data",TRUE
275523320,prime_type_A,1,0,"Yes, use my data",TRUE
275523320,prime_type_A,0,0,"Yes, use my data",TRUE
275523320,prime_type_A,0,0,"Yes, use my data",TRUE
275523320,prime_type_B,0,1,"Yes, use my data",TRUE
275523320,prime_type_B,0,0,"Yes, use my data",TRUE
275523320,prime_type_A,0,0,"Yes, use my data",TRUE
275523320,prime_type_B,0,0,"Yes, use my data",TRUE
275523320,prime_type_B,1,0,"Yes, use my data",TRUE
275523320,prime_type_B,0,0,"Yes, use my data",TRUE
275523320,prime_type_B,0,1,"Yes, use my data",TRUE
275523320,prime_type_B,0,0,"Yes, use my data",TRUE
275523320,prime_type_B,0,0,"Yes, use my data",TRUE
275523320,prime_type_A,1,0,"Yes, use my data",TRUE
275523320,prime_type_B,0,0,"Yes, use my data",TRUE
275523320,prime_type_B,0,1,"Yes, use my data",TRUE
275523320,prime_type_A,0,0,"Yes, use my data",TRUE
275523320,prime_type_A,1,1,"Yes, use my data",TRUE
275523320,prime_type_B,0,0,"Yes, use my data",TRUE
275523320,prime_type_A,0,0,"Yes, use my data",TRUE
275523320,prime_type_B,0,1,"Yes, use my data",TRUE
275523320,prime_type_B,0,0,"Yes, use my data",TRUE
275523320,prime_type_A,1,1,"Yes, use my data",TRUE
275523320,prime_type_A,1,1,"Yes, use my data",TRUE
275523320,prime_type_A,1,1,"Yes, use my data",TRUE
275523320,prime_type_A,1,0,"Yes, use my data",TRUE
275523320,prime_type_A,1,1,"Yes, use my data",TRUE
275523320,prime_type_A,0,0,"Yes, use my data",TRUE
275523320,prime_type_B,0,1,"Yes, use my data",TRUE
275523320,prime_type_A,1,0,"Yes, use my data",TRUE
275523320,prime_type_B,0,1,"Yes, use my data",TRUE
275523320,prime_type_A,0,0,"Yes, use my data",TRUE
275523320,prime_type_A,1,0,"Yes, use my data",TRUE
275523320,prime_type_B,0,0,"Yes, use my data",TRUE
275523320,prime_type_B,1,0,"Yes, use my data",TRUE
275523320,prime_type_A,0,0,"Yes, use my data",TRUE
275523320,prime_type_A,0,0,"Yes, use my data",TRUE
275523320,prime_type_A,1,0,"Yes, use my data",TRUE
275523320,prime_type_B,1,0,"Yes, use my data",TRUE
275523320,prime_type_A,1,1,"Yes, use my data",TRUE
275523320,prime_type_B,0,0,"Yes, use my data",TRUE
275523320,prime_type_B,0,1,"Yes, use my data",TRUE
275523320,prime_type_B,0,1,"Yes, use my data",TRUE
275523320,prime_type_B,1,0,"Yes, use my data",TRUE
275523320,prime_type_B,1,0,"Yes, use my data",TRUE
275523320,prime_type_A,0,0,"Yes, use my data",TRUE
275523320,prime_type_B,1,0,"Yes, use my data",TRUE
275523320,prime_type_B,1,0,"Yes, use my data",TRUE
275523320,prime_type_B,0,0,"Yes, use my data",TRUE
275523320,prime_type_B,0,0,"Yes, use my data",TRUE
275523320,prime_type_B,0,1,"Yes, use my data",TRUE
275523320,prime_type_A,0,1,"Yes, use my data",TRUE
275523320,prime_type_A,0,0,"Yes, use my data",TRUE
275523320,prime_type_B,1,0,"Yes, use my data",TRUE
566506627,prime_type_B,0,1,"Yes, use my data",TRUE
566506627,prime_type_B,0,1,"Yes, use my data",TRUE
566506627,prime_type_A,1,1,"Yes, use my data",TRUE
566506627,prime_type_B,0,1,"Yes, use my data",TRUE
566506627,prime_type_B,0,1,"Yes, use my data",TRUE
566506627,prime_type_B,0,1,"Yes, use my data",TRUE
566506627,prime_type_A,1,1,"Yes, use my data",TRUE
566506627,prime_type_A,1,1,"Yes, use my data",TRUE
566506627,prime_type_A,1,1,"Yes, use my data",TRUE
566506627,prime_type_A,1,1,"Yes, use my data",TRUE
566506627,prime_type_A,0,1,"Yes, use my data",TRUE
566506627,prime_type_A,1,1,"Yes, use my data",TRUE
