unique_id,experiment,age,gender,AMP_domain,AMP_mean_response,AMP_effect,IAAMP_influence_rate
1_16055,1,26,female,Valence,0.639,0.39,0.82
1_2936616,1,30,male,Valence,0.5,0.06,0
1_5470440,1,22,female,Valence,0.75,0.22,0.06
1_9263339,1,20,male,Valence,0.347,-0.19,0.06
1_10547337,1,53,female,Valence,0.319,-0.03,0.03
1_15394844,1,50,male,Valence,0.472,0.94,0.19
1_15465830,1,24,male,Valence,0.528,0.22,0.06
1_16141417,1,31,female,Valence,0.639,-0.06,0.15
1_27740312,1,18,female,Valence,0.514,0.86,0
1_34920690,1,22,male,Valence,0.472,0.61,0.19
1_36556014,1,22,female,Valence,0.597,0.03,0
1_38000492,1,20,female,Valence,0.514,0.03,0.07
1_43637020,1,40,female,Valence,0.625,0.08,0.01
1_50131456,1,23,female,Valence,0.361,0.33,0.22
1_51986624,1,36,male,Valence,0.361,0.67,0
1_54009366,1,38,female,Valence,0.694,0.11,0
1_57616928,1,39,female,Valence,0.611,0.11,0.12
1_58028565,1,37,female,Valence,0.389,0.61,0
1_69925725,1,31,male,Valence,0.486,-0.25,0
1_74997195,1,60,male,Valence,0.556,0.44,0
1_76141693,1,55,male,Valence,0.5,-0.06,0
1_76439821,1,20,male,Valence,0.736,-0.19,0.12
1_84290678,1,26,male,Valence,0.083,0,0.21
1_84627140,1,37,male,Valence,0.389,-0.06,0
1_92405220,1,24,male,Valence,0.611,0.06,0
1_96433901,1,24,other,Valence,0.458,0.14,0.21
1_106268459,1,22,male,Valence,0.597,0.08,0.04
1_106664762,1,58,male,Valence,0.472,-0.83,0
1_107151070,1,27,male,Valence,0.694,-0.06,0
1_108218819,1,34,female,Valence,0.639,0.28,0
1_114878067,1,38,male,Valence,0.417,-0.17,0
1_114995886,1,33,female,Valence,0.847,-0.08,0
1_115169881,1,29,male,Valence,0.75,0.06,0.18
1_115350998,1,24,female,Valence,0.514,0.08,0
1_118480252,1,42,male,Valence,0.528,0.89,0
1_119421586,1,21,male,Valence,0.597,0.03,0.31
1_122057431,1,32,male,Valence,0.514,0.81,0.67
1_124447190,1,25,other,Valence,0.611,-0.17,0
1_126097499,1,35,female,Valence,0.514,0.81,0.17
1_126236003,1,25,other,Valence,0.792,0.19,0.15
1_134468307,1,25,female,Valence,0.556,0.83,0
1_145682176,1,23,male,Valence,0.403,0.75,0
1_156075734,1,21,male,Valence,0.389,-0.11,0.03
1_156613096,1,20,male,Valence,0.528,0.67,0.03
1_176942399,1,27,female,Valence,0.514,0.69,0.19
1_177212343,1,33,female,Valence,0.278,-0.17,0
1_182891850,1,23,female,Valence,0,0,0
1_183553421,1,35,male,Valence,0,0,0
1_192774234,1,31,female,Valence,0.722,0.33,0
1_196690156,1,49,female,Valence,0.347,-0.08,0.15
1_198630490,1,61,female,Valence,0.444,0.17,0
1_199791369,1,32,male,Valence,0.875,-0.03,0
1_203278568,1,19,female,Valence,0.639,-0.11,0.21
1_203317747,1,31,male,Valence,0.583,0.72,0.06
1_210477529,1,20,male,Valence,0.75,0.11,0.17
1_215081082,1,21,female,Valence,0.583,0,0.12
1_220913643,1,26,female,Valence,0.736,0.03,0.01
1_234099887,1,20,male,Valence,0.236,-0.08,0.4
1_234446806,1,20,female,Valence,0.403,0.53,0.26
1_241721720,1,35,male,Valence,0.611,0.67,0
1_243979015,1,34,female,Valence,0.694,0,0.03
1_246249259,1,29,female,Valence,0.444,0.39,0
1_251487735,1,22,female,Valence,0.625,0.14,0.07
1_258441397,1,41,male,Valence,0.472,0,0.14
1_258980727,1,40,male,Valence,0.625,0.53,0
1_261224362,1,20,male,Valence,0.514,-0.08,0.22
1_262648276,1,20,female,Valence,0.542,-0.08,0.14
1_268701990,1,25,female,Valence,0.542,-0.25,0
1_270239949,1,27,male,Valence,0.472,0.89,0.17
1_270533895,1,58,female,Valence,0.819,0.14,0.01
1_272113354,1,25,male,Valence,0.444,0.17,0
1_273707608,1,34,female,Valence,0.778,0,0.21
1_275299664,1,33,female,Valence,0.417,0.22,0.14
1_275682766,1,33,female,Valence,0.431,-0.19,0.15
1_278082124,1,30,male,Valence,0.556,0,0
1_280680726,1,30,female,Valence,0.5,0.17,0.07
1_289704678,1,33,female,Valence,0.583,-0.06,0.19
1_290224567,1,29,other,Valence,0.472,-0.28,0
1_293570736,1,33,male,Valence,0.625,-0.03,0.01
1_298153744,1,20,male,Valence,0,0,0.01
1_299419793,1,33,male,Valence,0.417,-0.06,0
1_300522226,1,25,female,Valence,0.514,0.03,0.12
1_301637623,1,59,male,Valence,0.431,-0.08,0
1_306687691,1,24,female,Valence,0.542,0.81,0
1_308492353,1,20,male,Valence,0.472,0.44,0.83
1_308621563,1,20,female,Valence,0.486,-0.53,0
1_309994302,1,18,female,Valence,0.583,-0.22,0.11
1_325062157,1,27,female,Valence,0.556,0,0
1_335027585,1,35,female,Valence,0.819,0.08,0.07
1_344448882,1,42,male,Valence,0.583,0.33,0
1_346434907,1,31,female,Valence,0.722,0,0
1_347655114,1,19,female,Valence,0.472,0.44,0.11
1_351499179,1,55,female,Valence,0.653,0.08,0.08
1_352119079,1,23,male,Valence,0.736,0.03,0.26
1_352417206,1,50,female,Valence,0.389,0.56,0.32
1_356696678,1,25,female,Valence,0.722,0.17,0
1_358960100,1,20,male,Valence,0.653,-0.08,0
1_359577617,1,35,male,Valence,0.653,-0.03,0
1_367920190,1,40,female,Valence,0.319,0.08,0.1
1_372204749,1,32,male,Valence,0.486,-0.08,0.1
1_379948468,1,31,male,Valence,0.431,0.25,0
1_381362083,1,24,male,Valence,0.778,0.06,0.08
1_381795074,1,28,female,Valence,0.667,-0.17,0.04
1_384200319,1,42,female,Valence,0.819,0.03,0
1_385330982,1,31,female,Valence,0.486,0.81,0
1_385991285,1,29,male,Valence,1,0,0
1_390340013,1,22,female,Valence,0.528,0,0.12
1_392051584,1,20,male,Valence,0.75,0.17,0.14
1_393596638,1,19,male,Valence,0.514,-0.69,0.19
1_397104176,1,43,female,Valence,0.569,0.03,0.18
1_397175529,1,45,male,Valence,0.458,-0.19,0
1_399030014,1,18,female,Valence,0.597,-0.03,0.14
1_406403222,1,30,male,Valence,0.639,0.56,0.03
1_407236554,1,32,male,Valence,0.306,0.56,0
1_407347665,1,19,female,Valence,0.583,0.17,0.35
1_409131615,1,23,male,Valence,1,0,0
1_409715414,1,21,male,Valence,0.375,0.36,0
1_411858326,1,34,male,Valence,0.667,0.17,0.31
1_413578934,1,20,other,Valence,0.694,0.22,0
1_415249511,1,29,female,Valence,0.569,0.69,0
1_417007033,1,22,female,Valence,0.458,0.69,0
1_420177481,1,24,male,Valence,0.458,-0.03,0.17
1_423523583,1,28,male,Valence,0.764,-0.08,0.24
1_425053238,1,21,female,Valence,0.694,0.33,0.12
1_428411988,1,38,male,Valence,0.778,0.33,0
1_430042348,1,35,female,Valence,0.514,0.14,0
1_430167108,1,47,male,Valence,0.75,0.44,0
1_432807029,1,55,female,Valence,0.542,0.86,0.19
1_435583601,1,20,female,Valence,0.458,0.69,0
1_435662382,1,22,male,Valence,0.764,-0.08,0.26
1_439665093,1,33,male,Valence,0.625,0.75,0
1_440785152,1,36,male,Valence,0.597,-0.08,0.06
1_442307994,1,27,male,Valence,0.431,-0.08,0.06
1_448683207,1,29,male,Valence,0.514,-0.19,0.06
1_450875768,1,19,male,Valence,0.667,0.17,0.11
1_451421091,1,20,female,Valence,0.528,-0.06,0
1_463930846,1,43,male,Valence,0,0,0
1_470733027,1,29,female,Valence,0.458,0.81,0
1_474193334,1,28,female,Valence,0.431,0.03,0.08
1_493482790,1,27,male,Valence,0.653,-0.19,0.07
1_508066119,1,23,male,Valence,0.014,0.03,0.33
1_510335477,1,20,male,Valence,0.347,-0.03,0.03
1_511647504,1,22,male,Valence,0.431,0.64,0.01
1_515190380,1,31,female,Valence,0.25,0.06,0
1_520130106,1,23,male,Valence,0.403,0.03,0.11
1_521887244,1,21,female,Valence,0.528,0.06,0.46
1_525421287,1,40,male,Valence,0.806,0.11,0
1_526540412,1,26,male,Valence,0.542,0.36,0.18
1_527887583,1,25,female,Valence,0.722,0.22,0.01
1_536938680,1,57,male,Valence,0.639,0.72,0
1_540526360,1,25,male,Valence,0.542,0.19,0
1_544170352,1,20,female,Valence,0.333,0.67,0.06
1_548862447,1,30,female,Valence,0,0,0.18
1_550942196,1,31,female,Valence,0.444,0.89,0.67
1_552186078,1,37,male,Valence,0.514,-0.08,0
1_554703730,1,22,female,Valence,0.639,0.17,0.11
1_554805391,1,19,male,Valence,0.069,-0.03,0
1_556441669,1,59,male,Valence,0.389,0.17,0
1_557072655,1,23,male,Valence,0.542,0.25,0.29
1_562213533,1,30,male,Valence,0.611,-0.11,0.11
1_568876497,1,32,male,Valence,0.583,0.72,0.6
1_569507214,1,25,female,Valence,0.278,0,0.04
1_569804660,1,24,male,Valence,0.486,0.75,0
1_574829249,1,21,female,Valence,0.639,0.22,0.22
1_578756206,1,46,male,Valence,0.611,-0.17,0
1_578959592,1,26,female,Valence,0.681,0.19,0.31
1_579534480,1,22,male,Valence,0.653,-0.14,0.18
1_581575012,1,23,male,Valence,0.236,-0.03,0.01
1_581812041,1,23,female,Valence,0.694,-0.11,0
1_582117110,1,44,male,Valence,0.5,0.94,0
1_582846326,1,24,male,Valence,0.708,-0.03,0.12
1_585703245,1,31,female,Valence,0.972,-0.06,0.1
1_590234190,1,26,female,Valence,0.458,0.25,0.15
1_596941280,1,36,female,Valence,0.458,0.75,0
1_603650495,1,20,male,Valence,0.611,0.11,0
1_617488255,1,18,female,Valence,0.472,0.94,0.25
1_623370736,1,24,male,Valence,0.542,0.58,0
1_624000466,1,56,male,Valence,0.472,0.33,0.54
1_625807543,1,30,female,Valence,0.819,-0.03,0
1_629123938,1,55,female,Valence,0.764,0.14,0
1_631017668,1,18,male,Valence,0.278,0,0
1_642507638,1,20,female,Valence,0.569,0.31,0
1_644670624,1,44,male,Valence,0.556,0.11,0
1_644896067,1,34,male,Valence,0.389,0.17,0.25
1_646467030,1,22,male,Valence,0.472,-0.11,0
1_649527637,1,23,male,Valence,0.319,0.53,0.07
1_650062019,1,21,male,Valence,0.944,-0.06,0
1_654180193,1,22,female,Valence,0.764,0.25,0.01
1_661225736,1,21,male,Valence,0.583,0.22,0.82
1_662418183,1,22,male,Valence,0.583,0.72,0
1_664777447,1,34,female,Valence,0.681,0.14,0.06
1_667992195,1,48,male,Valence,0.667,-0.17,0.26
1_673207789,1,24,female,Valence,0.806,0.28,0.56
1_674778814,1,25,male,Valence,0.514,-0.03,0
1_678813687,1,25,male,Valence,0.444,0.17,0.71
1_680565186,1,20,male,Valence,0.472,0.06,0.17
1_681914111,1,21,female,Valence,0.639,-0.11,0.15
1_682673219,1,32,male,Valence,0.597,0.19,0.11
1_691711631,1,23,male,Valence,0.597,0.14,0.15
1_693834045,1,40,male,Valence,0.542,0.92,0
1_693914553,1,31,male,Valence,0.889,0.22,0.17
1_694642661,1,40,male,Valence,0.667,0,0
1_702259833,1,19,male,Valence,0.458,0.03,0.15
1_703874084,1,35,female,Valence,0.417,-0.67,0.01
1_710251621,1,23,male,Valence,0.361,0.61,0.36
1_713549915,1,37,female,Valence,0.597,0.25,0
1_715508182,1,30,male,Valence,0.486,-0.14,0.19
1_723522308,1,18,male,Valence,0.542,0.81,0.15
1_728278613,1,30,female,Valence,0.528,0.06,0.08
1_739309332,1,25,female,Valence,0.417,0.83,0.54
1_743586875,1,23,male,Valence,0.653,-0.03,0
1_744573872,1,30,female,Valence,0.5,-0.06,0.01
1_744861409,1,37,male,Valence,0.597,-0.14,0
1_748456760,1,41,male,Valence,0.667,0.28,0
1_751357436,1,33,male,Valence,0.528,0.94,0
1_752525902,1,25,female,Valence,0.694,0.11,0.06
1_761492292,1,38,female,Valence,0.556,0.06,0
1_778956781,1,31,male,Valence,0.694,0.22,0.38
1_781170864,1,42,female,Valence,0.417,0.17,0
1_781584642,1,20,male,Valence,0.653,-0.03,0.07
1_783553987,1,26,male,Valence,0.583,0,0.19
1_787556287,1,24,female,Valence,0.708,0.03,0.11
1_792414014,1,43,male,Valence,0.75,0.22,0.01
1_794409030,1,22,male,Valence,0.403,0.53,0
1_795591426,1,21,male,Valence,0.708,-0.42,0.25
1_796174258,1,24,female,Valence,0.389,0.06,0.1
1_806024296,1,25,female,Valence,0.681,-0.03,0.21
1_807373390,1,50,male,Valence,0.681,-0.03,0.04
1_813184844,1,20,male,Valence,0.681,-0.03,0.12
1_815625259,1,45,female,Valence,0.611,0.11,0.25
1_816373454,1,33,female,Valence,0.597,0.03,0
1_817192966,1,23,female,Valence,0.861,0.17,0.22
1_820190337,1,21,female,Valence,0.583,0,0.01
1_820511102,1,51,female,Valence,0.611,0.17,0.5
1_821665506,1,25,male,Valence,0.764,0.31,0.08
1_825083732,1,39,male,Valence,0.75,0.06,0.11
1_832209933,1,25,male,Valence,0.653,-0.08,0.1
1_838229850,1,57,female,Valence,0.597,-0.08,0
1_842196243,1,44,male,Valence,0.597,0.03,0
1_847227283,1,24,male,Valence,0.333,0.67,0.44
1_852549266,1,25,male,Valence,0.486,0.25,0
1_853329392,1,19,female,Valence,0.528,0,0.19
1_854552412,1,31,female,Valence,0.625,0.03,0
1_860676207,1,24,female,Valence,1,0,0
1_862644181,1,56,female,Valence,0.528,0,0.22
1_866966218,1,52,male,Valence,0.083,0,0.35
1_868078418,1,18,female,Valence,0.486,0.92,0.22
1_873490188,1,21,female,Valence,0.625,0.08,0.07
1_875514166,1,25,female,Valence,0.847,0.08,0.01
1_876439532,1,40,female,Valence,0.417,0.72,0
1_876643089,1,19,male,Valence,0.639,0.17,0.12
1_878840082,1,21,female,Valence,0.444,0.72,0.31
1_880282999,1,28,male,Valence,0.625,0.42,0
1_886138292,1,46,female,Valence,0.903,-0.03,0.04
1_888086546,1,25,female,Valence,0.708,0.03,0.08
1_889722044,1,31,female,Valence,0.556,0,0
1_891674350,1,29,male,Valence,0.5,0.67,0.24
1_893557307,1,19,male,Valence,0.458,0.86,0
1_893845463,1,19,male,Valence,0.569,-0.64,0.07
1_896139749,1,59,female,Valence,0.014,0.03,0.11
1_899381030,1,32,male,Valence,0.639,0.06,0
1_905519443,1,19,female,Valence,0.361,0.28,0.94
1_907552439,1,45,male,Valence,0,0,0
1_907624617,1,24,female,Valence,0.694,0.5,0.24
1_908238754,1,22,male,Valence,0.708,-0.14,0
1_911257296,1,25,male,Valence,0.458,0.81,0.12
1_917271266,1,32,male,Valence,0.417,0,0
1_919163805,1,19,female,Valence,0.389,0.67,0
1_922628467,1,21,male,Valence,0.417,0.83,0.06
1_929884764,1,30,male,Valence,0.389,-0.06,0
1_930760207,1,18,female,Valence,0.583,-0.72,0.15
1_930783245,1,35,female,Valence,0.556,0.06,0
1_932392154,1,22,male,Valence,0.681,-0.14,0
1_933854106,1,18,female,Valence,1,0,0.01
1_939244356,1,37,male,Valence,0.556,0.33,0.25
1_939425334,1,25,male,Valence,0.639,0.33,0.33
1_944206411,1,40,female,Valence,0.722,0.33,0.32
1_947105374,1,32,male,Valence,0.583,-0.06,0
1_948244818,1,22,male,Valence,0.639,0.06,0.24
1_949896208,1,21,male,Valence,0.514,0.36,0.24
1_951208388,1,24,male,Valence,0.514,-0.64,0.36
1_951809277,1,20,female,Valence,0.264,0.03,0.01
1_955159015,1,38,male,Valence,0.583,0,0.04
1_956911575,1,20,male,Valence,0.625,0.14,0.24
1_959767587,1,24,female,Valence,0.722,0.11,0.01
1_961250535,1,28,male,Valence,0.611,-0.06,0.14
1_961927421,1,55,male,Valence,0.569,0.14,0
1_962668460,1,23,female,Valence,0.681,0.19,0.15
1_964852861,1,33,male,Valence,0.389,0.61,0.96
1_967260119,1,20,female,Valence,0.125,0.19,0.03
1_970035745,1,20,male,Valence,0.625,0.25,0.15
1_972509894,1,32,male,Valence,0.25,-0.06,0
1_974871848,1,30,female,Valence,0.986,-0.03,0
1_989264176,1,24,male,Valence,0.583,-0.06,0.11
1_997711577,1,21,male,Valence,0.597,0.08,0.11
3_3545965,3,63,female,Valence,0.569,0.69,1
3_4760432,3,18,female,Valence,0.375,0.25,0.85
3_11515328,3,33,male,Valence,0.694,0.11,0.03
3_21664305,3,35,female,Valence,0.708,0.03,0.33
3_27172297,3,51,male,Valence,0.458,0.69,0.99
3_36970580,3,52,female,Valence,0.5,0.39,0.61
3_41432451,3,35,male,Valence,0.5,0.89,0.6
3_69320430,3,23,female,Valence,0.514,0.03,0.5
3_75924109,3,30,female,Valence,0.583,0.83,0.96
3_83854743,3,18,female,Valence,0.542,0.58,0.99
3_96935104,3,21,male,Valence,0.472,0.44,0.42
3_97904951,3,20,male,Valence,0.694,-0.11,0.99
3_101262426,3,24,male,Valence,0.569,0.64,0.93
3_130397844,3,25,female,Valence,0.667,0.06,1
3_131526138,3,45,female,Valence,0.319,0.64,1
3_136022943,3,63,female,Valence,0.375,0.42,0.72
3_139843245,3,31,female,Valence,0.653,0.19,0
3_142189929,3,27,female,Valence,0.361,-0.11,0.14
3_152762024,3,29,female,Valence,0.736,-0.03,0.12
3_167375011,3,42,female,Valence,0.792,0.08,0
3_168637346,3,25,male,Valence,0.556,0,0.01
3_179416344,3,18,male,Valence,0.792,0.14,0.25
3_180201925,3,45,female,Valence,0.569,0.03,0
3_181289079,3,60,female,Valence,0.597,-0.08,0.04
3_184299191,3,26,male,Valence,0.444,0.11,0.03
3_187488134,3,29,male,Valence,0.333,0.11,0.6
3_199910059,3,32,female,Valence,0.514,-0.14,0.24
3_220026072,3,19,female,Valence,0.389,0.33,0.9
3_223027094,3,28,female,Valence,0.972,0,0
3_229097424,3,31,female,Valence,0.486,0.58,1
3_230717514,3,30,male,Valence,0.986,0.03,0.49
3_232955159,3,18,male,Valence,0.431,-0.08,0.78
3_239069947,3,47,female,Valence,0.639,0.44,1
3_239892503,3,22,female,Valence,0.347,0.69,1
3_262081425,3,23,male,Valence,0.292,-0.25,0.14
3_267973744,3,43,female,Valence,0.611,0.61,0.97
3_273905501,3,33,male,Valence,0.708,0.08,0.89
3_277834946,3,21,female,Valence,0.597,0.08,0.15
3_278848772,3,23,male,Valence,0.542,0.92,0.22
3_290998509,3,26,male,Valence,0.639,-0.17,0.62
3_292953014,3,31,female,Valence,0.681,0.03,0.01
3_302702628,3,42,female,Valence,0.597,0.19,0.57
3_303658948,3,29,female,Valence,0.236,0.14,0.76
3_305914201,3,32,female,Valence,0.361,0.11,0.12
3_307860280,3,30,male,Valence,0.444,0.61,0.74
3_319433172,3,46,female,Valence,0.847,0.19,0.47
3_320805322,3,36,female,Valence,0.528,0.78,0.42
3_323856783,3,27,male,Valence,0.431,0.03,0.49
3_328485968,3,21,male,Valence,0.528,-0.11,0.47
3_331448779,3,22,female,Valence,0.5,-0.22,0.94
3_337066657,3,35,female,Valence,0.319,-0.14,0
3_344033800,3,38,male,Valence,0.486,0.14,0.56
3_344603030,3,20,male,Valence,0.514,0.08,0
3_347479845,3,32,male,Valence,0.694,0.61,0.85
3_350301937,3,21,female,Valence,0.375,0.58,0
3_353533557,3,44,female,Valence,0.889,-0.06,0
3_354547274,3,32,female,Valence,0.5,0.83,0.62
3_355139417,3,48,female,Valence,0.542,0.42,0.9
3_360735852,3,30,male,Valence,0.569,0.86,0.28
3_363470281,3,35,female,Valence,0.819,-0.03,0.18
3_364261625,3,38,male,Valence,0.542,-0.03,0.03
3_368594012,3,38,male,Valence,0.486,0.36,0.51
3_370651236,3,24,male,Valence,0.333,0.56,1
3_373367461,3,32,male,Valence,0.694,-0.17,0.01
3_386635382,3,38,male,Valence,0.222,0.06,0
3_387783740,3,41,male,Valence,0.653,0.53,0.33
3_388421664,3,29,male,Valence,0.681,-0.14,0.1
3_389217149,3,23,male,Valence,0.569,0.03,0.32
3_392174335,3,32,male,Valence,0.417,0.56,0.36
3_395053396,3,20,male,Valence,0.556,0.89,0.04
3_401033296,3,23,female,Valence,0.5,0.67,0.96
3_413147342,3,21,male,Valence,0.514,0.03,0
3_424435398,3,22,male,Valence,0.639,-0.22,0.1
3_426804087,3,44,female,Valence,0.097,0.14,0
3_431792373,3,38,male,Valence,0.444,0.83,0.99
3_433960753,3,63,female,Valence,0.111,0,0.79
3_446624219,3,39,male,Valence,0.833,0.33,0.64
3_463882110,3,20,female,Valence,0.542,0.08,0.07
3_464142070,3,25,female,Valence,0.542,0.19,0.99
3_469341127,3,25,male,Valence,0.653,0.03,0.76
3_474334397,3,53,female,Valence,0.611,-0.39,0.14
3_477795391,3,19,female,Valence,0.431,0.86,0.46
3_487741973,3,30,female,Valence,0.5,0.83,0.88
3_491513110,3,60,female,Valence,0.931,-0.14,0
3_494116681,3,45,female,Valence,0.514,-0.08,0
3_498350692,3,38,female,Valence,0.472,0.39,0.39
3_512852936,3,25,female,Valence,0.486,-0.03,0.31
3_513345010,3,41,female,Valence,0.597,0.03,0
3_515307612,3,51,male,Valence,0.542,-0.31,0.1
3_524847251,3,33,female,Valence,0.625,0.31,0.21
3_525193025,3,34,female,Valence,0.833,0.06,0.08
3_568258466,3,44,female,Valence,0.375,0.64,0.9
3_589498455,3,29,female,Valence,0.431,-0.08,0.99
3_590008967,3,37,female,Valence,0.625,0.75,0.5
3_600769455,3,23,female,Valence,0.514,0.47,0.1
3_601113332,3,48,female,Valence,0.139,-0.17,0
3_601178662,3,42,female,Valence,0,0,0.21
3_603072255,3,38,female,Valence,0.625,0.42,0.82
3_608020386,3,30,female,Valence,0.569,0.81,0.88
3_608526962,3,29,male,Valence,0.347,0.03,0
3_626816346,3,23,female,Valence,0.139,-0.06,0.06
3_627533922,3,39,female,Valence,0.542,-0.03,0.43
3_637784548,3,21,male,Valence,0.444,0,0
3_642571861,3,29,male,Valence,0.556,-0.17,0.28
3_644857832,3,24,male,Valence,0.75,0.33,0.22
3_648546876,3,23,female,Valence,0.542,0.03,0.01
3_649949448,3,26,female,Valence,0.458,0.75,0.25
3_651077529,3,27,male,Valence,0.639,-0.06,0.18
3_654107985,3,36,male,Valence,0.528,0,0
3_662593661,3,47,male,Valence,0.597,-0.03,0
3_664958237,3,35,female,Valence,0.431,0.58,0.9
3_675958720,3,29,male,Valence,0.5,0,0.36
3_688527417,3,22,female,Valence,0.569,0.31,0.15
3_688557942,3,39,female,Valence,0.639,0.61,0.29
3_689198556,3,24,female,Valence,0.375,0.75,0.74
3_689281609,3,27,male,Valence,0.347,0.14,0
3_691114029,3,19,male,Valence,0.583,0.5,0.97
3_694193812,3,28,female,Valence,0.625,0.58,0.64
3_698612986,3,48,female,Valence,0.486,-0.08,0.14
3_698994348,3,50,male,Valence,0.583,0,0.94
3_704053711,3,26,female,Valence,0.486,0.03,0.5
3_708502976,3,43,male,Valence,0.403,0.58,1
3_709057711,3,27,female,Valence,0.569,-0.03,0.96
3_710030814,3,39,male,Valence,0.472,0.17,0.15
3_710850498,3,27,female,Valence,0.667,0.06,0.32
3_725161810,3,30,male,Valence,0.472,0.83,0.81
3_726957240,3,21,female,Valence,0.472,0.39,0.49
3_736176140,3,41,male,Valence,0.5,0.89,1
3_736272791,3,24,female,Valence,0.597,-0.08,0.26
3_744186913,3,59,male,Valence,0.514,0.25,0
3_745230009,3,29,female,Valence,0.653,0.08,0.39
3_746338923,3,34,other,Valence,1,0,0
3_752626183,3,23,male,Valence,0.681,-0.19,0.4
3_753948021,3,19,male,Valence,0.556,0.06,0.39
3_754556216,3,27,female,Valence,0.486,0.03,0.32
3_756267867,3,22,male,Valence,0.5,0,0.51
3_765338899,3,47,female,Valence,0.5,0.94,0.03
3_773202440,3,42,male,Valence,0.5,0.72,0.99
3_778083163,3,29,female,Valence,0.569,-0.14,0.22
3_787311848,3,35,female,Valence,0.403,0.58,0.61
3_791742299,3,38,female,Valence,0.583,0.11,0.1
3_795100721,3,19,male,Valence,0.472,0.17,0.71
3_795481488,3,18,male,Valence,0.431,0.03,0.17
3_795643111,3,27,male,Valence,0.611,0,0.82
3_809437455,3,51,female,Valence,0.708,0.36,0.99
3_822831156,3,38,male,Valence,0.431,0.08,0.1
3_824618497,3,64,male,Valence,0.556,0.56,1
3_840036172,3,26,male,Valence,0.972,0,0.81
3_841910949,3,37,female,Valence,0.639,0.5,0.64
3_842029900,3,26,male,Valence,0.528,0.89,0.1
3_854556011,3,38,female,Valence,0.528,0.78,0
3_859270916,3,22,male,Valence,0.208,0.25,0.36
3_859570573,3,32,female,Valence,0.694,0.28,0.03
3_860183763,3,22,female,Valence,0.444,0.83,0.94
3_864076786,3,27,female,Valence,0.5,0.89,0.76
3_866046103,3,47,female,Valence,0.792,-0.14,0.12
3_866309533,3,30,female,Valence,0.833,-0.06,0.07
3_873505925,3,53,male,Valence,0.417,0,0.03
3_875576921,3,36,female,Valence,0.639,0.17,0.28
3_884698043,3,43,female,Valence,0.542,0.58,1
3_893359853,3,49,female,Valence,0.986,-0.03,0
3_897769045,3,27,female,Valence,0.5,0.72,0.32
3_910044066,3,31,male,Valence,0.611,0.06,0
3_912834396,3,50,male,Valence,0.431,0.25,0.04
3_924175746,3,46,female,Valence,0.181,0.14,0
3_925284293,3,60,female,Valence,0.625,-0.19,0.99
3_932810171,3,31,male,Valence,0.5,0,0
3_934611708,3,19,female,Valence,0.528,0.72,0.18
3_948175176,3,29,female,Valence,0.625,0.53,0.26
